COD_DELITO;SCORE
911;5
905;5
910;4
901;5
999;0
529;4
528;4
12149;6
308;7
311;4
301;9
897;6
304;6
12031;6
312;7
303;5
302;7
306;5
310;5
520;6
502;4
12032;0
399;0
307;6
405;0
503;4
12189;0
309;4
210;0
523;5
530;6
11103;5
11004;5
12082;5
525;6
524;4
205;5
725;6
515;6
214;0
221;6
207;6
12132;5
235;11
237;6
236;11
202;6
203;10
721;6
724;9
723;9
727;7
204;4
511;6
219;0
222;11
220;6
8002;0
8003;0
9002;4
9099;0
9004;0
9003;4
12124;4
12125;8
12139;5
12089;0
12123;0
12087;9
12088;4
2011;4
2005;4
12156;5
10037;5
20002;9
12152;0
12183;0
12173;0
16403;5
20005;9
2007;5
2004;6
20003;6
20004;10
10042;5
12138;5
10015;0
12186;0
12055;6
12137;5
12182;6
12999;0
12090;6
12170;7
15007;0
16402;0
10018;10
12163;0
22600;0
16400;6
10016;8
21003;0
12147;0
12136;4
10041;6
10014;6
20001;11
2003;5
10039;5
12171;4
22413;7
11005;6
2008;7
23600;6
12187;6
12160;6
22101;5
12142;0
12146;0
23900;6
12153;0
12155;0
23400;6
12021;0
12161;6
12175;0
12141;6
22700;0
23300;0
22900;0
12010;6
23200;0
22800;0
23500;0
23700;0
12148;10
23100;4
22400;6
22401;0
21001;5
2006;6
12144;0
12181;6
3003;6
12133;0
13050;6
12145;7
23601;8
22100;5
12157;0
13049;5
23803;0
3001;0
10017;0
21099;0
12022;0
12134;0
10099;0
13051;0
11099;0
2010;6
20099;0
16401;5
23725;0
23804;0
12023;0
10012;8
10008;6
10038;6
10013;7
10001;6
10011;5
20007;7
20006;7
2009;5
12130;4
22601;0
23602;6
23750;5
12180;9
2002;6
10009;7
12140;6
10010;5
22412;5
12143;6
21002;0
12150;6
12172;4
10040;5
12131;5
10007;0
10005;0
550;0
12154;0
12120;0
12100;0
8001;0
9001;0
2001;0
12121;0
12122;0
12162;0
13016;0
12030;0
12020;0
22300;0
10004;0
10006;0
13018;0
231;7
234;6
232;10
233;6
22200;10
11002;0
230;8
228;10
229;10
227;6
225;7
224;7
824;0
865;6
863;6
3002;0
507;5
856;6
866;6
852;4
22411;7
5002;5
12051;0
5003;0
12159;6
12158;7
5001;0
857;0
859;0
816;6
5005;0
12052;0
845;6
4004;5
4003;5
4005;0
12135;6
22500;0
5099;0
815;0
12174;8
426;6
23801;5
12188;6
23802;0
5004;0
22410;5
12054;0
4099;0
3099;0
12053;0
4006;6
12151;6
817;0
860;6
506;5
818;6
4001;0
12050;0
12040;0
4002;0
413;5
420;0
410;4
411;5
218;4
418;0
417;0
223;9
11006;6
419;8
408;9
23000;5
406;5
425;6
415;6
402;8
421;6
499;0
299;0
404;0
422;7
424;7
423;5
416;0
722;6
429;0
216;4
409;5
414;4
206;5
407;6
403;5
7053;4
7014;9
7047;8
7006;7
7046;6
